Frame,Marker ID,2D Coordinates,Distance,Yaw,Pitch,Roll
216,8,"(331.0,85.0),(389.0,83.0),(392.0,143.0),(334.0,144.0)",0.01723113765118344,-7.036852110714478,18.881400406693604,-1.974934
217,8,"(330.0,83.0),(388.0,82.0),(391.0,141.0),(334.0,143.0)",0.01723881690412039,-7.0809384427877715,18.988197902561886,-0.98776037
218,8,"(330.0,83.0),(388.0,81.0),(391.0,140.0),(334.0,142.0)",0.01723113765118344,-7.0809384427877715,19.041545372352655,-1.974934
219,8,"(330.0,80.0),(388.0,78.0),(391.0,138.0),(334.0,139.0)",0.01723113765118344,-7.0809384427877715,19.236859156709812,-1.974934
220,8,"(330.0,77.0),(388.0,75.0),(391.0,135.0),(334.0,137.0)",0.01723113765118344,-7.0809384427877715,19.43170937349589,-1.974934
221,8,"(330.0,76.0),(388.0,74.0),(392.0,133.0),(334.0,135.0)",0.01723113765118344,-7.066243932522901,19.53779490310134,-1.974934
222,8,"(330.0,75.0),(389.0,73.0),(391.0,133.0),(334.0,134.0)",0.016939422489140817,-7.066243932522901,19.59078548792008,-1.9414862
223,8,"(330.0,74.0),(389.0,72.0),(392.0,131.0),(334.0,134.0)",0.016939422489140817,-7.0515484878836325,19.66138536180527,-1.9414862
224,8,"(330.0,73.0),(389.0,72.0),(391.0,132.0),(334.0,133.0)",0.01694671898128332,-7.066243932522901,19.679025630878517,-0.9710219
225,8,"(329.0,74.0),(388.0,72.0),(391.0,131.0),(333.0,133.0)",0.016939422489140817,-7.110324652819913,19.679025630878517,-1.9414862
226,8,"(329.0,73.0),(387.0,72.0),(390.0,132.0),(332.0,134.0)",0.01723881690412039,-7.154396913989208,19.66138536180527,-0.98776037
